"article";"productgroup";"category";"cost";"style";"sizes";"gender";"rgb_r_main_col";"rgb_g_main_col";"rgb_b_main_col";"rgb_r_sec_col";"rgb_g_sec_col";"rgb_b_sec_col"
"LX1494";"HARDWARE ACCESSORIES";"GOLF";1.2;"wide";"xxs,xs,s,m,l,xl,xxl";"women";255;255;240;238;180;34
"ST3419";"SHOES";"RUNNING";9.29;"wide";"xs,s,m,l";"women";158;158;158;238;180;34
"ZT1211";"SHORTS";"FOOTBALL LICENSED";2.9;"slim";"xxs,xs,s,m,l,xl";"men";138;43;226;238;180;34
"NY6781";"HARDWARE ACCESSORIES";"TRAINING";9.29;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;173;0;238;180;34
"VW9933";"SHOES";"RUNNING";9.6;"slim";"xxs,xs,s,m,l,xl,xxl";"women";115;115;115;238;180;34
"VR2932";"SHOES";"INDOOR";3.8;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";205;16;118;238;180;34
"EH5694";"SHOES";"OUTDOOR";7.3;"slim";"xs,s,m,l,xl";"kids";205;155;155;238;180;34
"XI5411";"SHOES";"FOOTBALL GENERIC";4.9;"wide";"s,m,l,xl";"women";238;233;191;238;180;34
"YN8639";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";79;79;79;238;180;34
"JB4241";"SHOES";"TRAINING";4.9;"regular";"xxs,xs,s,m,l,xl,xxl";"women";107;107;107;162;181;205
"HB1693";"SHOES";"TRAINING";5.1;"regular";"xs,s,m,l,xl";"women";205;133;63;162;181;205
"KF7243";"SHOES";"OUTDOOR";8.4;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;173;0;162;181;205
"HQ9691";"SHOES";"RELAX CASUAL";12.2;"regular";"xxs,xs,s,m,l,xl,xxl";"women";107;107;107;162;181;205
"DM6477";"SHOES";"TRAINING";4.5;"regular";"xxs,xs,s,m,l,xl,xxl";"men";69;139;116;162;181;205
"OF8158";"SHORTS";"RUNNING";3.2;"slim";"xxs,xs,s,m,l,xl,xxl";"women";218;165;32;162;181;205
"NB5887";"SHORTS";"FOOTBALL LICENSED";2.8;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";181;181;181;162;181;205
"RP9222";"SHOES";"OUTDOOR";8.7;"slim";"s,m,l,xl";"women";72;118;255;162;181;205
"PV4787";"SHOES";"FOOTBALL GENERIC";13.59;"regular";"xxs,xs,s,m,l,xl,xxl";"men";238;197;145;205;51;51
"FE4648";"T-SHIRTS";"TRAINING";2.4;"regular";"xs,s,m,l,xl,xxl";"unisex";13;13;13;205;51;51
"XR5464";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.6;"slim";"s,m,l,xl";"women";145;44;238;205;51;51
"ON6325";"PANTS";"RUNNING";4.5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";158;158;158;205;51;51
"CX1431";"T-SHIRTS";"TRAINING";2.19;"slim";"xxs,xs,s,m,l,xl,xxl";"women";24;116;205;205;51;51
"MI6988";"T-SHIRTS";"RUNNING";2.7;"regular";"xxs,xs,s,m,l";"unisex";135;135;135;255;130;71
"BF7459";"T-SHIRTS";"RUNNING";3.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";209;209;209;255;130;71
"VC4517";"T-SHIRTS";"TRAINING";1.9;"regular";"xxs,xs,s,m,l,xl,xxl";"men";238;197;145;255;130;71
"JC5886";"SHOES";"TRAINING";5.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";36;36;36;255;130;71
"TL9924";"SHOES";"TRAINING";5.2;"regular";"s,m,l,xl,xxl";"women";135;206;250;255;130;71
"VX6536";"SHOES";"FOOTBALL GENERIC";10.8;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";255;245;238;255;130;71
"RC5832";"SHORTS";"FOOTBALL LICENSED";2.8;"slim";"xs,s,m,l";"women";50;205;50;139;26;26
"NT3648";"SHOES";"RUNNING";9.1;"regular";"xs,s,m,l,xl,xxl";"women";0;197;205;139;26;26
"NK4915";"HARDWARE ACCESSORIES";"RUNNING";1.6;"slim";"xxs,xs,s,m,l,xl,xxl";"women";238;230;133;139;26;26
"TO2769";"SWEATSHIRTS";"TRAINING";3.9;"regular";"xxs,xs,s,m,l,xl,xxl";"men";0;205;0;139;26;26
"WB8526";"SHOES";"RUNNING";9.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";209;238;238;205;173;0
"UX6816";"SHORTS";"TRAINING";2.29;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";205;145;158;205;173;0
"YL7926";"SHOES";"ORIGINALS";7.3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;205;173;0
"FK7423";"SHORTS";"TENNIS";2.5;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";238;180;34;205;173;0
"GW8244";"SHOES";"TRAINING";7.3;"wide";"xxs,xs,s,m,l";"men";248;248;255;205;173;0
"PV7587";"SHORTS";"RUNNING";3.1;"wide";"s,m,l,xl";"women";145;145;145;205;173;0
"SG5828";"SHOES";"RUNNING";9.9;"wide";"xxs,xs,s,m,l,xl,xxl";"women";58;95;205;205;173;0
"UD3728";"PANTS";"RUNNING";4.4;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";164;211;238;139;69;0
"VS6613";"PANTS";"TRAINING";2.9;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;155;29;139;69;0
"EU1121";"SWEATSHIRTS";"TRAINING";4.3;"regular";"xxs,xs,s,m,l,xl,xxl";"women";255;140;105;139;69;0
"BC1489";"SHOES";"INDOOR";4.5;"regular";"xs,s,m,l";"women";0;205;0;139;69;0
"VY6942";"SHORTS";"TENNIS";3.1;"slim";"xxs,xs,s,m,l,xl";"kids";84;139;84;139;69;0
"UM7314";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.7;"slim";"xs,s,m,l,xl";"women";95;158;160;238;106;167
"WB3769";"SHOES";"TRAINING";5;"wide";"xs,s,m,l,xl,xxl";"women";255;192;203;180;238;180
"SO4773";"SHORTS";"TRAINING";2.19;"wide";"xxs,xs,s,m,l,xl,xxl";"women";250;128;114;180;238;180
"GT5685";"SHOES";"FOOTBALL GENERIC";8.5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";84;139;84;180;238;180
"RV9228";"T-SHIRTS";"TRAINING";2.1;"regular";"xxs,xs,s,m,l,xl,xxl";"men";205;133;63;238;229;222
"YX2167";"SHORTS";"FOOTBALL LICENSED";2.6;"slim";"xxs,xs,s,m,l,xl,xxl";"women";189;189;189;238;229;222
"GR3986";"SHOES";"RUNNING";9.2;"slim";"s,m,l,xl,xxl";"women";139;26;26;79;148;205
"BI5591";"SHORTS";"RUNNING";3.1;"regular";"xxs,xs,s,m,l,xl";"unisex";95;158;160;79;148;205
"KY7934";"SHORTS";"GOLF";4.5;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";141;182;205;79;148;205
"RH5979";"PANTS";"TRAINING";3.1;"regular";"xxs,xs,s,m,l,xl,xxl";"men";205;51;51;79;148;205
"UB1117";"SWEATSHIRTS";"RUNNING";4.5;"slim";"xxs,xs,s,m,l,xl,xxl";"men";0;205;205;79;148;205
"YG9479";"SHORTS";"TENNIS";2.7;"slim";"xxs,xs,s,m,l,xl,xxl";"women";74;112;139;79;148;205
"QS5396";"T-SHIRTS";"TRAINING";2;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";250;128;114;79;148;205
"AX5913";"HARDWARE ACCESSORIES";"SWIM";1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";145;145;145;79;148;205
"RO5412";"SHOES";"FOOTBALL GENERIC";3.9;"regular";"xs,s,m,l";"women";135;135;135;145;145;145
"IM2273";"SHOES";"RUNNING";9.6;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";139;26;26;145;145;145
"CB4942";"SHORTS";"TRAINING";2.1;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";58;95;205;145;145;145
"YR6479";"PANTS";"NEO";2.6;"regular";"xxs,xs,s,m,l,xl,xxl";"women";122;197;205;250;128;114
"JI2453";"SHORTS";"FOOTBALL GENERIC";2.7;"slim";"xs,s,m,l,xl";"women";141;182;205;250;128;114
"JA4544";"HARDWARE ACCESSORIES";"TRAINING";3;"slim";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;250;128;114
"GZ1752";"SHOES";"RUNNING";7.1;"slim";"xxs,xs,s,m,l,xl,xxl";"women";255;250;240;250;128;114
"TY9287";"SHOES";"OUTDOOR";10.1;"slim";"s,m,l,xl,xxl";"women";255;192;203;255;240;245
"WP4135";"HARDWARE ACCESSORIES";"RUNNING";1.4;"slim";"s,m,l,xl,xxl";"women";84;139;84;255;240;245
"SV7732";"SHOES";"RUNNING";9.1;"regular";"xxs,xs,s,m,l,xl,xxl";"men";255;250;240;255;240;245
"HZ4826";"SHOES";"RUNNING";12.6;"wide";"xs,s,m,l,xl";"men";214;214;214;255;240;245
"QB1247";"SHOES";"ACTION SPORTS";4.7;"wide";"xxs,xs,s,m,l,xl,xxl";"women";139;76;57;255;240;245
"OW5968";"SHOES";"ORIGINALS";6.6;"wide";"xxs,xs,s,m,l,xl,xxl";"women";127;127;127;13;13;13
"XF4182";"T-SHIRTS";"TRAINING";3.1;"wide";"s,m,l,xl";"unisex";191;191;191;13;13;13
"VF7316";"HARDWARE ACCESSORIES";"TRAINING";3.3;"wide";"xxs,xs,s,m,l,xl,xxl";"women";139;10;80;13;13;13
"LL7287";"SHOES";"RUNNING";11;"regular";"xxs,xs,s,m,l,xl";"kids";139;121;94;13;13;13
"LH8921";"SHOES";"TRAINING";4.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";255;174;185;13;13;13
"PW6278";"SHOES";"OUTDOOR";5.8;"regular";"s,m,l,xl";"unisex";238;230;133;13;13;13
"HN7357";"SHOES";"RUNNING";8.7;"slim";"xxs,xs,s,m,l,xl,xxl";"unisex";192;255;62;13;13;13
"PB1483";"SHOES";"TENNIS";4.9;"wide";"xxs,xs,s,m,l,xl,xxl";"women";138;43;226;13;13;13
"LU3394";"T-SHIRTS";"TRAINING";2.19;"wide";"xxs,xs,s,m,l,xl,xxl";"women";79;79;79;191;191;191
"JG6384";"SHOES";"TRAINING";7;"wide";"xxs,xs,s,m,l,xl,xxl";"women";54;100;139;191;191;191
"FO4538";"HARDWARE ACCESSORIES";"TRAINING";3.6;"wide";"xxs,xs,s,m,l,xl";"kids";180;205;205;191;191;191
"SW4387";"HARDWARE ACCESSORIES";"TRAINING";8.9;"wide";"xs,s,m,l,xl";"kids";179;238;58;191;191;191
"WE4646";"T-SHIRTS";"RUNNING";4;"slim";"xs,s,m,l";"women";205;133;63;74;112;139
"GG3324";"SHOES";"FOOTBALL GENERIC";8.7;"wide";"xs,s,m,l,xl,xxl";"unisex";115;115;115;74;112;139
"NS7357";"SWEATSHIRTS";"RUNNING";5.6;"wide";"xs,s,m,l,xl,xxl";"women";238;229;222;74;112;139
"AH6675";"SWEATSHIRTS";"TRAINING";4.1;"slim";"s,m,l,xl";"kids";36;36;36;58;95;205
"OJ4847";"SHOES";"RUNNING";8.4;"slim";"xxs,xs,s,m,l,xl";"kids";238;220;130;58;95;205
"AA8941";"SHOES";"TENNIS";6.3;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";238;149;114;58;95;205
"VP7827";"SHORTS";"TRAINING";1.9;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";122;197;205;58;95;205
"XF3362";"SHOES";"OUTDOOR";8.4;"regular";"xs,s,m,l,xl,xxl";"kids";122;197;205;139;101;8
"ZI6739";"SHOES";"RUNNING";9.1;"wide";"xs,s,m,l";"men";205;198;115;139;101;8
"NK3982";"PANTS";"OUTDOOR";7;"slim";"xxs,xs,s,m,l,xl";"unisex";218;112;214;139;101;8
"MM4542";"SHOES";"RUNNING";9.2;"regular";"xxs,xs,s,m,l,xl,xxl";"men";238;197;145;139;101;8
"AZ5221";"HARDWARE ACCESSORIES";"RUNNING";1.6;"slim";"xxs,xs,s,m,l";"women";84;139;84;205;198;115
"FK6357";"HARDWARE ACCESSORIES";"TRAINING";2.1;"slim";"xs,s,m,l";"men";107;107;107;205;198;115
"NY5947";"HARDWARE ACCESSORIES";"SWIM";0.6;"regular";"xxs,xs,s,m,l";"women";54;100;139;205;198;115
"QU7755";"HARDWARE ACCESSORIES";"GOLF";2.6;"regular";"xxs,xs,s,m,l,xl";"men";248;248;255;205;198;115
"VY8476";"PANTS";"OUTDOOR";5.3;"regular";"xxs,xs,s,m,l,xl,xxl";"women";0;197;205;205;198;115
"DI9187";"T-SHIRTS";"TRAINING";2;"slim";"xxs,xs,s,m,l,xl,xxl";"women";74;112;139;205;145;158
"LG5858";"SWEATSHIRTS";"TRAINING";3.9;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";180;238;180;205;145;158
"XN6238";"HARDWARE ACCESSORIES";"SWIM";1;"wide";"xxs,xs,s,m,l,xl,xxl";"women";135;206;250;205;96;144
"BE9148";"SHOES";"RUNNING";8.9;"regular";"xxs,xs,s,m,l";"women";218;112;214;205;96;144
"DY1673";"SHOES";"RUNNING";9.2;"regular";"xxs,xs,s,m,l,xl,xxl";"women";255;140;105;205;96;144
"ZK4922";"T-SHIRTS";"TRAINING";2.29;"wide";"xxs,xs,s,m,l,xl,xxl";"women";209;238;238;205;96;144
"VY8356";"PANTS";"TRAINING";3.2;"wide";"xxs,xs,s,m,l,xl,xxl";"unisex";79;148;205;139;121;94
"NM4424";"SHOES";"OUTDOOR";8;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";205;173;0;139;121;94
"BF9848";"SHORTS";"FOOTBALL GENERIC";2;"regular";"xxs,xs,s,m,l,xl,xxl";"unisex";245;245;245;139;121;94
"ML2223";"SHOES";"RUNNING";10.7;"regular";"xxs,xs,s,m,l,xl,xxl";"women";122;197;205;139;121;94
"NJ3895";"SHOES";"BASKETBALL GENERIC";10.5;"slim";"xxs,xs,s,m,l,xl,xxl";"women";79;148;205;139;121;94
"MR4948";"HARDWARE ACCESSORIES";"TRAINING";2.1;"wide";"xs,s,m,l,xl";"women";24;116;205;24;116;205
"BZ4828";"SHORTS";"TENNIS";3;"slim";"xxs,xs,s,m,l,xl,xxl";"women";83;134;139;24;116;205
"AM4669";"SWEATSHIRTS";"FOOTBALL GENERIC";3.3;"wide";"xs,s,m,l,xl,xxl";"unisex";238;106;167;24;116;205
"PE2872";"SHOES";"RELAX CASUAL";7;"regular";"xxs,xs,s,m,l,xl,xxl";"men";0;205;0;24;116;205
"ZX2294";"SHOES";"RUNNING";7.6;"slim";"xxs,xs,s,m,l,xl,xxl";"women";255;187;255;255;174;185
"CQ8153";"SWEATSHIRTS";"OUTDOOR";6.6;"regular";"xs,s,m,l,xl,xxl";"kids";238;220;130;54;54;54
"JR7981";"HARDWARE ACCESSORIES";"SWIM";0.5;"slim";"xxs,xs,s,m,l,xl,xxl";"women";79;79;79;54;54;54
"KE3772";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.9;"wide";"xs,s,m,l,xl";"women";162;181;205;54;54;54
"PH9161";"SHOES";"FOOTBALL GENERIC";9.7;"slim";"xxs,xs,s,m,l,xl,xxl";"kids";127;127;127;54;54;54
"GJ5184";"SHOES";"TENNIS";8.29;"regular";"xxs,xs,s,m,l,xl";"kids";127;127;127;54;54;54
"UR7332";"T-SHIRTS";"TRAINING";2.5;"regular";"xxs,xs,s,m,l,xl,xxl";"women";139;26;26;54;54;54
"TS8911";"SHOES";"OUTDOOR";8.4;"wide";"xs,s,m,l,xl,xxl";"women";83;134;139;54;54;54
"OE7548";"SHORTS";"TRAINING";2.4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";205;155;29;84;139;84
"PQ6379";"HARDWARE ACCESSORIES";"TRAINING";2.8;"slim";"xxs,xs,s,m,l,xl,xxl";"women";36;36;36;84;139;84
"VL9749";"SWEATSHIRTS";"TRAINING";4.3;"wide";"s,m,l,xl,xxl";"women";24;116;205;138;43;226
"DD1361";"SHOES";"TRAINING";5.3;"regular";"xs,s,m,l,xl,xxl";"women";192;255;62;138;43;226
"MW9292";"PANTS";"OUTDOOR";6.3;"wide";"xs,s,m,l";"women";205;155;155;138;43;226
"OK8155";"PANTS";"TRAINING";3;"slim";"xxs,xs,s,m,l,xl,xxl";"women";50;205;50;138;43;226
"ZR3493";"SHORTS";"RUNNING";3.3;"wide";"xxs,xs,s,m,l,xl,xxl";"kids";255;187;255;138;43;226
"GL8661";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.7;"regular";"xs,s,m,l,xl,xxl";"men";238;197;145;138;43;226
"IL7684";"HARDWARE ACCESSORIES";"RUNNING";1.09;"regular";"xxs,xs,s,m,l,xl,xxl";"women";107;107;107;138;43;226
"HM8568";"SHOES";"RUNNING";9.1;"wide";"s,m,l,xl,xxl";"women";50;205;50;205;140;149
"XT5836";"SHOES";"FOOTBALL GENERIC";12.3;"wide";"xxs,xs,s,m,l";"men";205;133;63;205;140;149
"OP1184";"HARDWARE ACCESSORIES";"TRAINING";2.29;"slim";"xxs,xs,s,m,l,xl,xxl";"men";255;140;105;205;140;149
"BH9952";"SHORTS";"FOOTBALL GENERIC";2.4;"slim";"xxs,xs,s,m,l,xl";"kids";255;140;105;205;140;149
"ZS4134";"SHORTS";"FOOTBALL LICENSED";2.7;"wide";"s,m,l,xl,xxl";"kids";238;197;145;205;140;149
"WM7783";"HARDWARE ACCESSORIES";"FOOTBALL GENERIC";0.6;"slim";"s,m,l,xl,xxl";"women";205;198;115;205;140;149
"FU5676";"SHOES";"FOOTBALL GENERIC";11.9;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;16;118;205;140;149
"TW8762";"SHORTS";"TRAINING";1.7;"slim";"xxs,xs,s,m,l";"women";174;238;238;205;140;149
"IW7978";"SHOES";"TRAINING";5;"wide";"xxs,xs,s,m,l,xl,xxl";"women";162;181;205;141;182;205
"DK3634";"HARDWARE ACCESSORIES";"SWIM";0.5;"regular";"xxs,xs,s,m,l,xl,xxl";"women";205;16;118;141;182;205
"OY4474";"PANTS";"TRAINING";3.3;"wide";"s,m,l,xl";"women";255;250;240;141;182;205
"LL3852";"HARDWARE ACCESSORIES";"FOOTBALL LICENSED";0.5;"wide";"xxs,xs,s,m,l,xl";"unisex";192;255;62;141;182;205
"XB3134";"SWEATSHIRTS";"TRAINING";4;"wide";"xxs,xs,s,m,l,xl,xxl";"women";214;214;214;141;182;205
"EN9438";"SHOES";"TRAINING";4.7;"slim";"s,m,l,xl,xxl";"kids";145;44;238;141;182;205
"PN1714";"SHOES";"RUNNING";8.7;"regular";"xxs,xs,s,m,l,xl,xxl";"kids";250;235;215;141;182;205
"KF6572";"HARDWARE ACCESSORIES";"TRAINING";4.1;"wide";"xxs,xs,s,m,l";"unisex";135;135;135;141;182;205
"QX5316";"PANTS";"OUTDOOR";6.3;"regular";"xxs,xs,s,m,l";"unisex";205;129;98;141;182;205
"VT3516";"HARDWARE ACCESSORIES";"SWIM";0.4;"slim";"xxs,xs,s,m,l,xl,xxl";"women";189;189;189;205;129;98
"LC1964";"SHORTS";"RUNNING";3.1;"wide";"xxs,xs,s,m,l";"women";24;116;205;205;129;98
